source_file_id,source_id,original_file_name,stored_file_path,file_format,mime_type,file_size_bytes,sha256,downloaded_at,record_count,column_count,encoding,delimiter,license_status
file_ted_0010,src_ted_opendata,19-2025.xml,raw/ted/xml/19-2025.xml,xml,application/xml,26686,62e9e7503a45bf7537103eeee6f8951b13b5c18f6ad6ee0966db41893dd6b4ca,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0011,src_ted_opendata,22-2025.xml,raw/ted/xml/22-2025.xml,xml,application/xml,9020,745b86e5b8a3dedaf1e9b363b65015737de3699bbb7a2a813b7c55065b861333,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0012,src_ted_opendata,23-2025.xml,raw/ted/xml/23-2025.xml,xml,application/xml,40756,d04301c861b9dde27f216a2667ceee5cd42e0bbdc0904a357b15a3a026fb9266,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0013,src_ted_opendata,24-2025.xml,raw/ted/xml/24-2025.xml,xml,application/xml,330753,b75c2cdbe4c758c91eb8f0c462dbde5bb61d2eff7b273b94a2004c349d39be5f,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0014,src_ted_opendata,25-2025.xml,raw/ted/xml/25-2025.xml,xml,application/xml,20231,7084edae4a5c20413bc6356546101f1f93b4567b6a7cf96b0946c435648edcec,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0015,src_ted_opendata,27-2025.xml,raw/ted/xml/27-2025.xml,xml,application/xml,82440,b6aa90d30aefd2c7d114df01b57249fbff75527225b682cfac16b3d01d0173d7,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0016,src_ted_opendata,28-2025.xml,raw/ted/xml/28-2025.xml,xml,application/xml,20460,4fc05bf8e26e9a66b43c361a67b698ed9776365dfabe44d003854d8ef920eb64,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0017,src_ted_opendata,30-2025.xml,raw/ted/xml/30-2025.xml,xml,application/xml,20381,6fecb5f095c5deb58453d92b468392c5dd3ec74bb27d4be6b7a56531aec86f5a,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0018,src_ted_opendata,31-2025.xml,raw/ted/xml/31-2025.xml,xml,application/xml,19427,1a2d692084b036e0dc9529bd70c726acbc38deea593fc99988123f7a13ea3b41,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0019,src_ted_opendata,33-2025.xml,raw/ted/xml/33-2025.xml,xml,application/xml,42670,f00a74038b7a45e16aa8b747e90b5fa6ad1c41271881d7697ab874bd980505c0,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0020,src_ted_opendata,37-2025.xml,raw/ted/xml/37-2025.xml,xml,application/xml,28807,f16747503b686f9bba7ca7931a7edbd6f5dd0f97fa6466a36fe656c36d135edc,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0021,src_ted_opendata,40-2025.xml,raw/ted/xml/40-2025.xml,xml,application/xml,12380,64d93f209e790874af8b959eb01875338f45fb09504ec2ca198da23bee13a59c,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0022,src_ted_opendata,42-2025.xml,raw/ted/xml/42-2025.xml,xml,application/xml,12378,4b1c3f5d2051f7dc852f74deb3985a8c49b966665e519017496640636120ddac,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0023,src_ted_opendata,43-2025.xml,raw/ted/xml/43-2025.xml,xml,application/xml,22584,8c14bd3c8b324b870159e79203efd212139fd6ebcaea9a67f7640590741cacb4,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0024,src_ted_opendata,44-2025.xml,raw/ted/xml/44-2025.xml,xml,application/xml,60271,0aab4887a756557081089ae5823c9230c3d52fdecbb6cc69f4330abf63c75096,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0025,src_ted_opendata,46-2025.xml,raw/ted/xml/46-2025.xml,xml,application/xml,19861,0abb8a55f7ecc378bb021966c4f1d4f28e27e09519c5e1bc93935daa14301e45,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0026,src_ted_opendata,48-2025.xml,raw/ted/xml/48-2025.xml,xml,application/xml,24346,4bc0372ff01fbee31fd8ad39bf1cf9ec10125a7616cb2f5a53736fdbb5e5251e,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0027,src_ted_opendata,51-2025.xml,raw/ted/xml/51-2025.xml,xml,application/xml,26412,00f22fcf8c8d776eb8e12e8034f33d60844107f0904deaf55b5da1c747a61493,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0028,src_ted_opendata,54-2025.xml,raw/ted/xml/54-2025.xml,xml,application/xml,35338,071257667ef93c3b82d4ec8413cdf42c8f1c6f6f97c0dd6f7788de7214917dfb,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0029,src_ted_opendata,55-2025.xml,raw/ted/xml/55-2025.xml,xml,application/xml,23782,76589a68afa4a9e8a274eba9057419d0926b46699faf83e50c09509593d88492,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0030,src_ted_opendata,57-2025.xml,raw/ted/xml/57-2025.xml,xml,application/xml,23299,1e17201a89ba8dab61e0bec9c443ec493a287024d31f86854e7edbd4cab05e36,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0031,src_ted_opendata,58-2025.xml,raw/ted/xml/58-2025.xml,xml,application/xml,22121,c17429b27365a4532a818034de1d73558759bb89022136ddce7e63efa7b6afa4,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0032,src_ted_opendata,60-2025.xml,raw/ted/xml/60-2025.xml,xml,application/xml,24357,7bcab15feb7e115bd01feb0479cc5dcdb9f9840d015483355d5d86b1eed2adf0,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0033,src_ted_opendata,61-2025.xml,raw/ted/xml/61-2025.xml,xml,application/xml,41280,6dec1ee8c27fff4c492d8d8bf491f275bc37644f41184fe4c835aded547f54c9,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0034,src_ted_opendata,62-2025.xml,raw/ted/xml/62-2025.xml,xml,application/xml,40030,664a9173c88970f33192116d65f04afc89d11e3c1989d485f500d0943906c06b,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0035,src_ted_opendata,63-2025.xml,raw/ted/xml/63-2025.xml,xml,application/xml,27036,b4da6db928db0fd1a8d952fb5d1369b4e5918b0c07f92ac3a9e54cf919952f48,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0036,src_ted_opendata,66-2025.xml,raw/ted/xml/66-2025.xml,xml,application/xml,74301,5ee1e24000291c44ea521077510557f613728a6f5d724a1cb259ff4ec9557f8a,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0037,src_ted_opendata,67-2025.xml,raw/ted/xml/67-2025.xml,xml,application/xml,29813,b6439e41bf3975f8be9aefdefff6358d45d854f8ec256b90bffe40af5a4aca30,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0038,src_ted_opendata,68-2025.xml,raw/ted/xml/68-2025.xml,xml,application/xml,12378,0babdf4c24e3aa7049c1bfa4c7e3a2c9641a6adc62e4c818e49badb098aa0162,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0039,src_ted_opendata,69-2025.xml,raw/ted/xml/69-2025.xml,xml,application/xml,31676,f3ffce89042a2ca85d5faee06dc4c2867a8e4e61f45e63a32bbaef44cccbd915,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0040,src_ted_opendata,71-2025.xml,raw/ted/xml/71-2025.xml,xml,application/xml,68071,848b8f15a35791144791b0a89e8b4ede0b395661097b55b250f3ad6cb2e08eca,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0041,src_ted_opendata,75-2025.xml,raw/ted/xml/75-2025.xml,xml,application/xml,26549,68ee74347487dd11340c338531d6907fe49f7ceefc6bae5e8643ecb048070359,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0042,src_ted_opendata,76-2025.xml,raw/ted/xml/76-2025.xml,xml,application/xml,47514,304d48ed058ae5a73c53128e01931114be7473621e0c7ff37c8581de3976218d,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0043,src_ted_opendata,77-2025.xml,raw/ted/xml/77-2025.xml,xml,application/xml,202253,5f96e3ade980d552c7ede39935d5be7d6b6cf24ae68dc35326cc3e24f6bb7bba,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0044,src_ted_opendata,78-2025.xml,raw/ted/xml/78-2025.xml,xml,application/xml,21064,ab135e0db7b86705990d53d6c31348840ff61a80b2d6dc76c442eba2f42a0a4c,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0045,src_ted_opendata,79-2025.xml,raw/ted/xml/79-2025.xml,xml,application/xml,25202,3c2389d93d1a6a1bb6ba9f993b41b42e0e1a713d611e38c562fea94cef1442b0,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0046,src_ted_opendata,80-2025.xml,raw/ted/xml/80-2025.xml,xml,application/xml,24400,162cea689e1bb7966edfc40702dcae9e24fbaff0bf4fa5935a310bef85b0eea4,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0047,src_ted_opendata,86-2025.xml,raw/ted/xml/86-2025.xml,xml,application/xml,96435,e24906c2c209da4f2476a37b3940a9b1bc3c1a9e7d15fcdafd0857a588c11e62,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0048,src_ted_opendata,87-2025.xml,raw/ted/xml/87-2025.xml,xml,application/xml,18128,d371ba00da7268be6f1e9026c3e1b1e3f6a345faa5ac8044ef64cb80eb2fb25c,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0049,src_ted_opendata,88-2025.xml,raw/ted/xml/88-2025.xml,xml,application/xml,35145,5299c33a1d5a81d4fe10c973e18e47fd3f3b946f7e128266a2614e8d0f369419,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0050,src_ted_opendata,92-2025.xml,raw/ted/xml/92-2025.xml,xml,application/xml,12378,8316b1026215e3b10bc0949e54ba6696635ca03cc920eb1c2847dbff66185956,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0051,src_ted_opendata,93-2025.xml,raw/ted/xml/93-2025.xml,xml,application/xml,24230,d509415273f6947e10990be046877618fb92b68c8ba2324308ac1bcefda8dc4f,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0052,src_ted_opendata,96-2025.xml,raw/ted/xml/96-2025.xml,xml,application/xml,61230,ffbfcca24c57985e7893031072c7e6a960e4a416010f174bbb215e46fc22fcf9,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0053,src_ted_opendata,97-2025.xml,raw/ted/xml/97-2025.xml,xml,application/xml,13491,3cfe9c985099c4ff11ae33ea515570ff1a812b3f5a9875ac93ea6a397844c37e,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0054,src_ted_opendata,99-2025.xml,raw/ted/xml/99-2025.xml,xml,application/xml,16927,5328034c7f602a461f9cfbeec6800fe2c3133531565640890ee2f1d56a69b07d,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0055,src_ted_opendata,101-2025.xml,raw/ted/xml/101-2025.xml,xml,application/xml,52912,a6f4e7e668f76e364e1fcf7cbf56fbacfdfbd2453b6b7bff9e4afdb30bb4f736,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0056,src_ted_opendata,102-2025.xml,raw/ted/xml/102-2025.xml,xml,application/xml,18696,e1cfb273c5342341b7742fc74477f45acb81ffa361c08aa4c2e41df8cb9f6187,2026-08-19,1,,utf-8,,open_with_attribution
